item_id,x,y
1,-1.532043,4.8904676
2,-2.1210046,4.2392907
3,-0.98945475,8.178396
4,-3.2906363,2.7048087
5,-2.413146,3.293015
6,-2.116224,4.4750113
7,-0.6558993,6.1351304
8,-1.6427653,4.635665
9,-1.3274369,5.232833
10,-2.3218155,3.3371477
11,-2.6897523,3.4229572
12,-1.8699514,3.5156028
13,-1.5057772,4.070087
14,-0.80199814,0.1462408
15,-2.6848824,3.7353227
16,-2.3858254,3.9730866
17,-1.6937534,4.8456435
18,-2.635269,3.685106
19,-1.721254,4.8044095
20,-2.6409905,3.7244132
21,-2.6924832,3.8296428
22,-2.68745,4.4604564
23,-2.5860417,3.7021015
24,-2.3183784,3.4806616
25,-2.6358833,3.8249762
26,-3.179464,4.1364355
27,-2.6134193,3.7598243
28,-2.166046,4.09408
29,-1.1229935,2.926692
30,-2.0338275,4.3180385
31,-2.8795433,4.0845356
32,-1.1749309,4.5117292
33,0.4428624,5.7709246
34,-0.29511654,6.1480093
35,0.24153751,5.7499094
36,-0.321948,6.174925
37,-0.61764866,6.8756685
38,-1.0279051,6.0759063
39,-2.5270827,4.1177354
40,-0.39659137,5.9084406
41,-2.0255158,4.338523
42,-0.45978042,6.122313
43,-0.38176587,6.4087534
44,-0.30939046,6.1726413
45,-0.22954856,6.1274605
46,-1.2578284,8.536947
47,0.57966876,5.7989297
48,0.5704073,5.7406216
49,-1.7795826,4.619749
50,-2.5235538,0.73576033
51,-1.297231,2.7024915
52,-3.680495,4.4295974
53,-2.2682447,3.3810983
54,-3.45238,4.358769
55,-2.4548867,3.7890906
56,-2.6501107,1.3593434
57,-2.2093616,4.535958
58,-2.374689,1.4011865
59,-2.1801004,3.6728895
60,-2.3245347,3.311329
61,-2.3904998,3.420547
62,-1.6893069,4.003993
63,-2.2191978,3.966532
64,-2.178715,2.8884592
65,-2.7430925,1.4776734
66,-3.856905,4.488075
67,-2.2286384,3.2371047
68,-2.698491,1.3286295
69,-2.3536987,0.5672915
70,-2.1681507,2.957786
71,-2.6165574,2.1004033
72,-2.677245,1.324045
73,-2.7035298,1.3885235
74,-2.3505862,1.0835598
75,-2.325692,3.3584108
76,-1.6691647,4.937819
77,-2.4337337,2.4033566
78,-0.47907317,6.038442
79,-0.3643463,7.5558224
80,-2.273259,3.4256682
81,-1.5526898,4.057036
82,-2.9150915,2.6149497
83,-1.8116683,4.0856757
84,-2.2449276,4.272581
85,-2.1519377,4.0347223
86,0.60837656,5.731229
87,-0.07609756,5.717151
88,-2.8511193,4.529442
89,-2.1795542,5.413755
90,-2.3270419,3.7462902
91,-2.5731802,4.2347674
92,-2.8568492,5.2281995
93,-2.4925673,4.494342
94,-3.0808208,5.3702817
95,2.707396,5.68452
96,-3.087085,5.699194
97,-1.2948338,6.3795533
98,-2.7611682,4.732007
99,-1.5598493,8.266559
100,-1.8006703,4.5496545
101,-0.8679141,2.3786006
102,-0.60074615,6.443405
103,-0.24552712,6.123888
104,0.01943322,5.625833
105,0.046949573,3.1581943
106,-2.8553054,4.654164
107,-1.7317245,4.689148
108,-1.5067341,5.4718447
109,-3.0396175,3.8864322
110,-3.3120134,3.8449783
111,-3.2044609,3.8353157
112,-3.1195254,3.5530288
113,-3.811206,3.8713803
114,-3.661942,3.621429
115,-3.1752822,3.8048084
116,-2.9722238,2.3218367
117,-1.686909,4.7155523
118,-1.5557715,5.529731
119,-2.6643212,3.8321433
120,-1.326434,8.70774
121,-2.676421,4.037433
122,-2.6636086,3.8011987
123,-3.0685372,3.7935922
124,-3.2833517,3.8919954
125,0.04799153,5.568041
126,-1.7948463,4.665715
127,0.3242096,5.6074443
128,-1.3635386,8.491612
129,0.04334434,3.1189673
130,-2.8979075,4.0439644
131,-0.01732587,3.0658586
133,-0.21062429,6.1286306
134,-2.6992579,3.6852992
135,-2.1348736,3.9733584
136,-2.8589756,4.1226997
137,-1.7949233,3.977538
138,-2.3164833,3.8630233
139,-2.7500398,3.7967193
140,-2.4543264,4.0561953
141,-2.2339196,3.9412618
142,-1.2031922,0.105954796
143,-2.4225166,4.510984
144,-2.0306728,4.254475
145,-2.4516244,3.8603926
146,-2.4349911,3.9229393
147,-1.4187262,5.06002
148,0.42225567,5.6668396
149,-0.33673474,2.524759
150,-2.5323098,3.131649
151,-2.2435665,3.345416
152,-0.25112417,10.013887
153,-1.3287206,8.825805
154,-0.92133826,2.9262977
155,-1.698376,4.105014
156,-1.8402795,4.7134633
157,-1.6874309,4.634043
158,0.08950632,5.675783
